QueryText,KccAns
MEDICINAL PLANTS IN GOVT. SUBSIDY,MEDICINAL PLANTS IN GOVT. SUBSIDY : RECOMMENDED FOR CONTACT MANDALA HORTICULTURE OFFICER TO KNOW ABOUT SUBSIDY DETAILS
weather report:,today there is no chance of rainfall in your area
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
SESAME VARIETIES,"SESAME VARIETIES : GOWRI , MADHAVI .YALAMANCHILI"
green gram time of sowing,green gram time of sowing : january to february
government schemes,government schemes : contact your mandal agriculture officer
sucking pests on chillies,RECOMMENDED TO SPRAY  FIPRONIL  400 ML / 200 LITERS OF WATER /ACRE
sheath blight management in paddy,sheath blight management in paddy :RECOMMENDED TO SPRAY  HEXACONAZOLE  400 ML /200 LITRES OF WATER / ACRE
bacterial leaf spot in chillies,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITERS OF WATER /ACRE
BACTERIAL LEAF SPOT IN CHILI,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
ROOT ROT IN BENGAL GRAM,RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITERS OF WATER /ACRE
LEAF WEBER IN RED GRAM,RECOMMENDED TO SPRAY CHLORIPYRIPHOS 500 ML/Acre
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report,NO RAINS ARE THERE IN YOUR AREA
PADDY BPH MANAGEMENT,PADDY BPH MANAGEMENT : RECOMMENDED TO SPRAY  BUPROFEZIN +ACEPHATE   500 GRAMS /ACRE
weather report,NO RAINS ARE THERE IN YOUR AREA
MANAGEMENT OF CHILLI TOBACCO CATERPILLER,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
weather report,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
weather report,The rain is not likely to take place in your area
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
sucking pests on brinjal,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITERS OF WATER / ACRE
CITRUS FERTILIZER MANAGEMENT,"CITRUS FERTILIZER MANAGEMENT : RECOMMENDED TO APPLY UREA 1.5 KG , DAP 600 GRAMS AND POTASH 800 GRAMS PER TREE"
weather report,THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
CHILLY BACTERIAL LEAF SPOT MANAGEMENT,"CHILLY BACTERIAL LEAF SPOT MANAGEMENT :  
 
RECOMMENDED FOR 30 gr COPPER OXY CHLORIDE AND 1 gr STREPTOCYCLIN  IN 10 ltr of WATER"
MUSKMELON SUCKING PEST MANAGEMENT,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
CHILLY NUTRIENT MANAGEMENT,CHILLY NUTRIENT MANAGEMENT : RECOMMENDED TO SPRAY POTASSIUM NITRATE 1 KG PER ACRE
TRIPS IN BEANS,RECOMMENDED TO SPRAY ACETAMIPRIDE 40 GRAMS PER ACRE
WEATHER REPORT,WEATHER REPORT: today there is no chance of rainfall in your areA
WEATHER REPORT,WEATHER REPORT :Mostly cloudy in your area
BHENDI NUTRIENT MANAGEMENT,BHENDI NUTRIENT MANAGEMENT : RECOMMENDED TO SPRAY POTASSIUM NITRATE 1 KG PER ACRE
WEATHER REPORT,WEATHER REPORT: Mostly cloudy in your area
CORIANDER GROWTH FERTILIZER,CORIANDER GROWTH FERTILIZER :RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 1  KG/ACRE IN 200 LT WATER
chilli   leaf spot damage,recommended to spray strepto  cyclin 1 gram / 10 liter water + copper oxy chloride 30 gram / 10 liter water
black gram sucking pest management,RECOMMENDED TO SPRAY MONOCROTOPHOS 400 ML /200 LITERS OF WATER /ACRE
season for sowing cucumber,season for sowing cucumber January to February
WEATHER REPORT,today there is no chance of rain fall in your area
market information in black gram:,"market information in black gram:7500	8500/quintal"
root grub in brinjal,RECOMMENDED TO DRENCH CHLORPYRIFOS 6 ML/1 LITER  OF WATER
boron deficiency in water melon,RECOMMENDED TO SPRAY OF BORAX 3 GRAMS PER LITRE     ????????
CHILLI THRIPS,RECOMMENDED TO SPRAY FIPRONIL 400ML/ACER
sugarcane varieties,"sugarcane varieties : viswa mitra (87A 298), 88A189,90A272, VASUDHA ( 83R23) , KRUSHNA( 91A83) 93A145,93V297,90R5"
market price for bengal grams,market price for bengal grams per quintal was around 9900 to 10000 rupees
BLACK GRAM WEED MANAGEMNT,BLACK GRAM WEED MANAGEMNT  ;RECOMMENDED TO SPRAY QUIZALOPOP ETHYL(TARGA SUPER) 400 ML PER ACRE
weather report,no rain your area cloudy weather occur
GRAM POD BORER MANAGEMENT,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /200 LITERS OF WATER / ACRE
WEATHER REPORT,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report,no rain your area cloudy weather occur
CHILLI NUTRIENT MANGEMENT,recommended to spray potassium nitrate 1kg/acre
CHILLI FRUIT BORER,RECOMMENDED TO SPRAY PROCLAIM 100 GRAMS/ACRE IN 200 LT WATER
black gram growthmanagement,recommended to apply urea 25 kg /acre
proper growth in red growth,RECOMMENDED TO SPRAY  13-0-45 1 KG/ACRE IN 200 LT WATER
LEAF WEBBING DAMAGE IN MANGO,RECOMMENDED TO SPRAY Phosalone 35 EC @ 2 ml/lit
WEATHER REPROT,weather information-040 27908506; 040 27906172
weather report,no rain your area cloudy weather occur
gram pod borer management,RECOMMENDED TO SPRAY SPINOSAD 75 ML/200 LITERS OF WATER / ACRE
BENGAL GRAM WATER MANAGEMANT,BENGAL GRAM WATER MANAGEMANT;FLOWER STAGE
weather report,no rain your area cloudy weather occur
Ground nut gram pod borer management,RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  90 GRAMS /200 LITRES OF WATER / ACRE
Sagan aphid management,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITERS OF WATER /ACRE
weed management in blackgram,weed management in blackgram :RECOMMENDED TO SPRAY IMAZITAPYR  300 ML/200 LITRES OF WATER  PER ACRE
GREENGRAM PODBORER,GREENGRAM PODBORER: RECOMMENDED TO SPRAY CHLORPYRIFOS 500 ML / ACRE IN 200 LITER WATER
chilli cercospora leaf spot:,chilli cercospora leaf spot:RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  30 GRAMS   +   STREPTOCYCLINE   1 GRAM  / 1 0 LITRES OF WATER
CHILLY SUCKING PEST MANAGEMENT,RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
market information in red gram:,market information in red gram:not reported price of redgram
paddy stem borer management,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
WEATHER REPORT,:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
tomato fussarium wilt management,tomato fussarium wilt management:Advised to drench the plant base with COC 3 g per lit of water
BITTER GUARD POWDERY MILDEW MANAGEMENT,BITTER GUARD POWDERY MILDEW MANAGEMENT : recommended spray azoxystrobin 200ml/acre in 200 lit of water
asked about forestry toll free number,asked about forestry toll free number: 1800-425-5364:9848661193(knr
WEATHER  REPORT,THERE IS NO CHANCE OF RAIN IN YOUR PLACE
BACTERIAL LEAF SPOT IN CHILI,RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
sucking pests management in blackgram,sucking pests management in blackgram :RECOMMENDED TO SPRAY DIMETHOATE  400 ML /200 LITERS OF WATER /ACRE
CHILLI FRUIT ROT MANAGEMENT,RECOMMENDED TO SPRAY PROPICONAZOLE 200 ML / ACRE IN 200 LITER WATER
CHILLI MIDGE FLY,RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML/ACRE
FALSE SMUT MANAGEMENT,FALSE SMUT MANAGEMENT : RECOMMENDED TO SPRAY   TEBUCONAZOLE + TRIFLOXYSTROBIN  160 GRAMS /200 LITERS OF WATER /ACRE
PADDY STEM BORER DAMAGE,RECOMMENDED TO SPRAY  CORAJEN 60 MILLI LITER/ACRE
"chilli leaf curl , midge flies & flower drop  management","RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITERS OF WATER /ACRE  ,
RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITERS OF WATER / ACRE &
RECOMMENDED TO SPRAY NAPTHALENE ACITIC ACID (PLANO FIX ) 50 ML/ 200 LITERS OF WATER /ACRE"
paddy fertilizers management,recommanded to apply 35 kgs urea and potash-15 kgs per acre
INTERCULTURAL OPERATION 50 DAYS AFTER SOWING,DON'T DO INTERCULTURAL OPERATION 50 DAYS AFTER SOWING
black gram sucking pest management,RECOMMENDED TO SPRAY MONOCROTOPHOS 400 ML /200 LITERS OF WATER /ACRE
cotton leaf blight damage,recommended to spray  strepto cyclin 1 gram /10  liter water + copper oxy chloride 30 gram/10 liter water
BLACK GRAM  MARKET  INFORMATION,"BLACK GRAM  MARKET  INFORMATION  5400	5500	GBG  BLACK  GRAM  VARITIE"
BLACK GRAM VARETY,RECOMMENDED TO SOW P.U-31
ZINC DEFICIENCY MANAGEMENT,RECOMMENDED TO SPRAY  ZINC SULFATE  10 GRAMS + UREA 10 GRAMS  / 1 LITER OF WATER
citrus sucking pest,RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE
CHILLI  WHITE FLY  MANAGEMENT,CHILLI  WHITE FLY  MANAGEMENT RECOMMENDED OBERON 200ML/ACRE
weather report,today there is no chance of rain fall in your area
WEATHER REPORT,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPOR,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
ground nut tikka leaf spot,ground tikka leaf spot RECOMMENDED TO SPRAY  HEXACONAZOLE   400 ML /200 LITERS OF WATER / ACRE
weather report,today there is no chance of rain fall in your area
MUSKMELON  NUTRIENT MANAGEMENT,MUSKMELON  NUTRIENT MANAGEMENT : RECOMMENDED TO SPRAY 13-0-45 5 GRAM PER LITER WATER
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
LEAF SPOT MANAGEMENT IN GROUNDNUT,LEAF SPOT MANAGEMENT IN GROUNDNUT :RECOMMENDED TO SPRAY CARBENDAZIM   200  GRAMS/  200 LITRES OF WATER /ACRE
MARKET INFORMATION BLACK GRAM,"Minimum Price(Rs.5400/Quintal)	Maximum Price(Rs.5500/Quintal"
paddy  weed management,paddy weed mangemant ;; 15 to 20 days used herbicide
weather report,today there is no chance of rain fall in your area
chilli die back :,chilli die back :RECOMMENDED TO SPRAY  PYRACLOSTROBIN   100 ML/200 LITRES OF WATER /ACRE
weather report,today there is no chance of rain fall in your area
WEATHER REPORT,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report,NO RAINS ARE THERE IN YOUR AREA
dry root rot in bengal gram,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600 GRAMS/200 li water  PER ACRE
WEATHER REPORT,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report,weather report :The rain is not likely to take place in your area
KORRA VARITIES,"RECOMMENDED SRILAXMI,PRASAD"
BRINJAL MITE MANAGEMENT,BRINJAL MITE MANAGEMENT : RECOMMENDED TO SPRAY  PROPARGITE   200 ML /200 LITRES OF WATER / ACRE
weather report,weather report:The rain is not likely to take place in your area
weather report,weather report :The rain is not likely to take place in your area
PADDY STEM BORER,RECOMMENDED TO  APPLY  CHLORANTRANILIPROLE GRANULES 4 KGS/ACRE
WEATHER REPORT,Mostly cloudy in your area
GROUNDNUT FERTILIZER RECOMMENDATION,RECOMMENDED TO APPLY UREA 9 KGS PER ACRE
GREEN GRAM LEAF HOPPERS MANAGEMENT,GREEN GRAM LEAF HOPPERS MANAGEMENT : RECOMMENDED FOR SPRAY NEEM OIL 5 ML + ACEPHATE 1.5 GRAMS/ 1 LITER OF WATER
wilt in brinjal,RECOMMENDED TO SPRAY COPPER OXY CHLORIDE  600  GM /200 LITERS OF WATER / ACRE
VARIETIES OF SESAMUM,"VARIETIES OF SESAMUM: ELAMANCHILI, SHWETHTHIL, CHANDANA, HIMA"
PADDY LEAF FOLDER MANAGEMENT,PADDY LEAF FOLDER MANAGEMENT : RECOMMENDED TO SPRAY CARTAP HYDROCHLORIDE 400 GRAMS/ 200 LITRES OF WATER / ACRE
weather report,weather report : The rain is not likely to take place in your area
nutrient management,RECOMMENDED TO SPRAY  ZINC SULPHATE  2 GRAMS / 1 LITER OF WATER
GROUNDNUT APHID MANAGEMENT,RECOMMENDED TO SPRAY IMIDA CHLOPRID 100 MILLI LITER /ACRE
soil testing laboratory,"Ananthapur	-	8096697521	08554-247572	Assistant Director of Agriculture, (Soil Testing Laboratory) Adimurthy Nagar, DRDA Complex, Ananthapur-5150001."
WEATHER REPORT,TODAY THE RAIN IS NOT LIKELY TO TAKE PLACE IN YOUR AREA
MUSHROOM SPAN AVAILABILITY,MUSHROOM SPAN AVAILABILITY : RECOMMENDED TO CONTACT HORTICULTURE OFFICER
weather report,The rain is not likely to take place in your area
weather report,The rain is not likely to take place in your area
WEATHER REPORT,Beautiful with plenty of sunshine
WEATHER REPORT,Beautiful with plenty of sunshine
SUCKING PEST MANAGEMENT,SUCKING PEST MANAGEMENT:RECOMMENDED TO SPRAY DIMETHOATE  2 ML/1 LITRE WATER
FISH RESEARCH STATION  CONTACT NUMBER,FISH RESEARCH STATION  CONTACT NUMBER ;0884-2374267
weather report,The rain is not likely to take place in your area
weather report,The rain is not likely to take place in your area
COTTON MARKET INFORMATION,"COTTON MARKET INFORMATION 
MINIMUM PRICE;5500 /QUINTAL
MAXIMUM PRICE ;5650/QUINTAL"
chilli mites control,RECOMMENDED TO SPRAY  SPIROMESIFEN  200 ML/200 LITRES OF WATER /ACRE
JASSID MANAGEMENT,JASSID MANAGEMENT : RECOMMENDED TO SPRAY DIMETHOATE  2 ML/1 LITRE WATER
weather report,no rain your area cloudy weather occur
COTTON MARKET INFORMATION,"COTTON MARKET INFORMATION 
MINIMUM PRICE; 5100/QUINTAL
MAXIMUM PRICE ;5200/QUINTAL"
weather information,weather information : Today there is no chance of rainfall in your area
weather report,no rain your area cloudy weather occur
WEATHER REPORT,Mostly cloudy in your area
WATERMELON NUTRIENT MANAGEMENT,WATERMELON NUTRIENT MANAGEMENT : RECOMMENDED FOR SPRAY 13-0-45(POTASSIUM NITRATE) 5 GRAMS/ 1 LITER OF WATER
market information,"ANANTAPUR
kalyandurg
0	Non Ac Fine	-12000	Rs./Quintal
0	Non Ac Flower-	6500	Rs./Quintal"
rust in maize,RECOMMENDED TO SPRAY MANCOZEB   600 GRAMS / 200 LITERS OF WATER / ACRE
weather report,no rain your area cloudy weather occur
CHILLY MIDGE FLY MANAGEMENT,CHILLY MIDGE FLY MANAGEMENT : RECOMMENDED TO SPRAY MARSHALL 400 ML PER ACRE
MEDICINAL PLANTS,MEDICINAL PLANTS : 040-24013331
CHILLY MIDGE FLY MANAGEMENT,CHILLY MIDGE FLY MANAGEMENT : RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML /200 LITRES OF WATER / ACRE
borer in maize,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  3-4 KG /ACRE
CHILLY SUCKING PEST MANAGEMENT,CHILLY SUCKING PEST MANAGEMENT : RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS /200 LITRES OF WATER / ACRE
greenhouse information,contact to mandal horticulture officer
CHILLY BACTERIAL LEAF SPOT MANAGEMENT,CHILLY BACTERIAL LEAF SPOT MANAGEMENT : RECOMMENDED  TO SPRAY COPPER OXY CHLORIDE  600 GRAMS   +   STREPTOCYCLINE   20 GRAM  / 200 LITRES OF WATER /ACRE
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT,no rain your area cloudy weather occur
WATERMELON NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY BORAX 2 GR/1 LITRE OF WATER
paddy market information,"paddy market information : 19/01/2017 ( MTU-1010) 1410	- 1450/-Rs/qtl"
chilly powdery mildew management,RECOMMENDED TO SPRAY DINOCAP  200 ML /200 LITERS OF WATER / ACRE
weather report,The rain is not likely to take place in your area
CHILLI GROWTH,CHILLI GROWTH : RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITRES OF WATER /ACRE
weather report,no rain your area cloudy weather occur
weather report,The rain is not likely to take place in your area
BLACK GRAM YELLOW MANAGEMENT,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
YELLOW MOSAIC DISEASE IN BLACK GRAM,RECOMMENDED TO SPRAY ACETAMIPRID   40 GRAMS  /200 LITRES OF WATER /ACRE
chilli thrips control,RECOMMENDED TO SPRAY THIAMETHOXAM 40 GRAMS /200 LITRES OF WATER / ACRE
MANGO ANTHRACNOSE MANAGEMENT,RECOMMENDED TO SPRAY MANCOZEB   600 GRAMS / 200 LITRES OF WATER / ACRE
maize growth management,recommended to spray multi-k 5 gram / liyter water
papaya leaf folder control,RECOMMENDED TO SPRAY  ACETAMIPRID + FIPRONIL 400 ML / 200 LITRES OF WATER /ACRE
weather report,no rain your area cloudy weather occur
WEATHER REPORT,TODAY A RAIN NOT  IS LIKELY TO TAKE PLACE IN YOUR AREA
WEATHER REPORT,weather report:today rain is not likely to occur in your area
REDGRAM MARKET RATE,REDGRAM MARKET RATE: MINIMUM PRICE 7750 MAXIMUM PRICE 7850
nutrient management in mango,RECOMMENDED TO SPRAY NAPHTHALENE ACETIC ACID 50 ML/ 200 LITERS OF WATER /ACRE
leaf spots in mango,RECOMMENDED TO SPRAY  IPROVALICARB + PROPINEB   500-600 GRAMS /200 LITRES OF WATER /ACRE
nutrient management in mango,RECOMMENDED TO SPRAY 13;0;45 POTASSIUM NITRATE  5 GRAMS/1 LITER OF WATER
IVY GOURD POWDERY MILDEW MANAGEMENT,IVY GOURD POWDERY MILDEW MANAGEMENT : RECOMMENDED FOR SPRAY DINOCAP 1 ML/ 1 LITER OF WATER
weather report,weather report:today rain is not likely to occur in your area
weather report,no rain your area cloudy weather occur
WEATHER REPORT,:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
PADDY CATERPILLER CONTROL,RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
CHILLI THRIPS CONTROL,RECOMMENDED TO SPRAY  FIPRONIL  400 ML/ 200 LITRES OF WATER /ACRE
maize weed management,RECOMMENDED TO SPRAY ATRAZINE  800 GRAMS/200 LITRES OF WATER  PER ACRE
sorghum weed management,RECOMMENDED TO SPRAY ATRAZINE  800 GRAMS/200 LITRES OF WATER  PER ACRE
"Cercospora leaf
spot in chilli",Spray mancozeb @ 2.5g/l or carbendazim 1gram litter water
weather report,no rain your area cloudy weather occur
CITRUS SOOTY MOULD MANAGEMENT,CITRUS SOOTY MOULD MANAGEMENT : RECOMMENDED TO SPRAY DIMETHOATE  400 ML /200 LITRES OF WATER /ACRE
GARLIC SOWING TIME,GARLIC SOWING TIME : SEPTEMBER 15 TO OCTOBER
weather report,no rain your area cloudy weather occur
sorghum leaf spot,RECOMMENDED TO SPRAY CARBENDAZIM + MANCOZEB 400  GRAMS/  200 LITRES OF WATER /ACRE
weather report,no rain your area cloudy weather occur
leaf eting cater pillars in cauliflower,RECOMMENDED TO SPRAY ACEPHATE 300 GRAMS/ 200 LITRES OF WATER / ACRE
weather report,no rain your area cloudy weather occur
weather report,today there is no chance of rain fall in your area
weather report,The rain is not likely to take place in your area
DIE BACK IN BLACK GRAM,RECOMMENDED TO SPRAY PROPICONAZOLE    200 ML / 200 LITRES OF WATER /ACRE
GROUND NUT LEAF SPOT,RECOMMENDED TO SPRAY  HEXACONAZOLE  400 ML /200 LITRES OF WATER / ACRE
WEATHER REPORT,Mostly cloudy in your area
LEAF SPOTS IN CHILLI,RECOMMENDED TO SPRAY AZOXYSTROBIN  150 ML /200 LITRES OF WATER /ACRE
weather report,Mostly cloudy in your area
BRINJAL SHOOT AND FRUIT BORER,BRINJAL SHOOT AND FRUIT BORER: RECOMMENDED TO SPRAY CHLORONTHRIPONIL 60 ML PER ACRE
WEATHER REPORT,WEATHER REPORT :   today there is no chance of rain fall in your area
WEATHER REPORT,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
Adoni Kapas (Adoni) MARKET INFORMATION,"Adoni Kapas (Adoni) MARKET INFORMATION 
MINIMUM.4369 MAXIMUM.5656 AVERAGE.5286 Rs/Quintal"
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
BLACKGRAM MITES,BLACKGRAM MITES : RECOMMEMNDED TO SPRAY ETHION 300 ML PER ACRE
weather report:,today there is no chance of rainfall in your area
WEATHER REPORT,THERE IS NO CHANCE TO RAINFALL IN YOUR AREA
GOVERNMENT SCHEMES,contact your agriculture officer
JASMINE WHITEFLY,JASMINE WHITEFLY: RECOMMENDED TO SPRAY TRIAZOPHOS 300 ML PER ACRE
nutrient management in chilli,RECOMMENDED TO SPRAY POTASSIUM NITRATE  5 GRAMS/1 LITER OF WATER
weather report,today there is no chance of rain fall in your area
weather report,today there is no chance of rain fall in your area
WEATHER REPORT,WEATHER REPORT : TODAY RAIN IS NOT OCCUR IN YOUR AREA
weed management in maize,"RECOMMENDED TO SPRAY 2,4 D @ 500 GRAMS PER ACRE"
pod borer management in maize,pod borer management in maize :RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
IVY GOURD MEALY BUG MANAGEMENT,IVY GOURD MEALY BUG MANAGEMENT : RECOMMENDED FOR SPRAY NEEM OIL 5 ML +  PROFINOPHOS 2 ML/ 1 LITER OF WATER
WEATHER REPORT,WEATHER REPORT: TODAY RAIN IS NOT OCCUR IN YOUR AREA
WEATHER REPORT,MOSTLY CLEAR WEATHER IN YOUR AREA
WEATHER REPORT,weather report:today rain is not likely to occur in your area
BANANA NUTRIENT MANAGEMENT,BANANA NUTRIENT MANAGEMENT : RECOMMENDED FOR SPRAY 13-0-45(POTASSIUM NITRATE) 5 GRAMS/ 1 LITER OF WATER
BANANA FERTILIZER MANAGEMENT,"BANANA FERTILIZER MANAGEMENT : RECOMMENDED FOR APPLY UREA 30 KG, MOP 40 KG/ ACRE"
paddy stem borer,RECOMMENDED TO APPLY CARBOFURAN 3 G  GRANULES  8-10 KG /ACRE
weather report,no rain your area cloudy weather occur
WEATHER REPORT:,WEATHER REPORT:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report:,weather report:THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
agril officer contact number,agril officer contact number 8886612599
weather report,today there is no chance of rain fall in your area
black gram growth :,black gram growth :  Recommended to spray 13-0-45  1 KG / ACRE IN 200 LT WATER
weather report,no rain your area cloudy weather occur
green gram weed management,RECOMMENDED TO SPRAY IMAZITAPYR  300- 400 ML/200 LITRES OF WATER  PER ACRE
WEATHER INFORMATION :,"WEATHER INFORMATION : DRY WEATHER ,CHANCE OF SHOWERS IN YOUR AREA"
CHILLI THRIPS,RECOMMENDED TO SPRAY DIFENTHIURON   300 GRAMS/200 LITRES OF WATER /ACRE
WEATHER REPORT,WEATHER REPORT: TODAY RAIN IS NOT OCCUR IN YOUR AREA
weather report,no rain your area cloudy weather occur
weather report,weather report: TODAY RAIN IS NOT OCCUR IN YOUR AREA
BLACK GRAM SPIDER MITE MANAGEMENT,BLACK GRAM SPIDER MITE MANAGEMENT : RECOMMENDED FOR SPRAY FIPRONIL 2 ML/ 1 LITER OF WATER
CHILI TRIPS,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITERS OF WATER /ACRE
WEATHER REPORT,NO RAINS ARE THERE IN YOUR AREA
NUTRIENT MANAGEMENT BLACK GRAM,MULTI-K (13-0-45)1KG/ACRE IN 200 LT WATER
weather report:,weather report: no rain your area cloudy weather occur
PAPAYA RING SPOT CONTROL,RECOMMENDED TO SPRAY DIMETHOATE  400ML /200 LITRES OF WATER /ACRE
paddy fertilizer management,recommended to apply urea 30 kg /acre
weather report,today rain is not likely to occur in your area
BLACK GRAM YELLO MOSAIC VIRUS MANAGEMENT,RECOMMENDED TO SPRAY DIMETHOATE 400ML/ACRE
weather report:,weather report:THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report,today rain is not likely to occur in your area
weather report,The rain is not likely to take place in your area
WEATHER REPORT,:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
weather report:,weather report:THERE IS NO CHANCE TO RAIN FALL IN YOUR AREA
PADDY NUTRIENT MANAGEMENT,RECOMMENDED TO SPRAY  ZINC SULPHATE  2 GRAMS / 1 LITRE OF WATER
WEATHER REPORT,:NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
WEATHER REPORT:,NO RAIN YOUR AREA CLOUDY WEATHER OCCUR
nutrient management in groundnut,recommended to apply zypsum 200kg/acre
CHILLI MARKET RATE,CHILLI MARKET RATE: MINIMUM PRICE 5000 MAXIMUM PRICE 11200
weather report,The rain is not likely to take place in your area
